Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,Facies
2826.0,76.34,0.719,7.8,11.0,3.7,3
2826.5,83.74,0.688,9.7,12.55,3.4,3
2827.0,83.19,0.664,10.1,11.95,3.4,3
2827.5,80.44,0.648,10.1,11.15,3.4,3
2828.0,75.42,0.648,9.3,11.45,3.3,3
2828.5,71.5,0.663,9.2,11.6,3.3,3
2829.0,69.63,0.685,8.7,11.35,3.3,3
2829.5,70.01,0.705,8.6,11.1,3.4,3
2830.0,67.56,0.717,8.6,10.8,3.4,3
2830.5,67.33,0.719,7.3,10.75,3.4,3
2831.0,64.77,0.718,6.3,10.45,3.3,3
2831.5,64.8,0.715,5.7,10.05,3.4,3
2832.0,66.25,0.716,4.9,10.45,3.5,2
2832.5,66.55,0.719,6.4,10.4,3.5,2
2833.0,66.13,0.723,7.9,9.85,3.5,2
2833.5,65.54,0.723,8.1,8.65,3.5,2
2834.0,63.07,0.721,5.5,7.75,3.5,2
2834.5,59.71,0.72,3.7,7.05,3.4,2
2835.0,57.86,0.721,2.2,7.1,3.3,2
2835.5,54.8,0.723,1.0,7.4,3.3,2
2836.0,51.8,0.722,0.6,7.5,3.3,2
2836.5,52.62,0.717,1.3,7.45,3.3,2
2837.0,53.66,0.706,1.5,7.85,3.4,2
2837.5,55.79,0.688,2.1,8.25,3.3,2
2838.0,58.54,0.666,2.1,8.85,3.2,2
2838.5,60.95,0.639,2.1,9.65,3.3,2
2839.0,66.56,0.613,3.7,10.65,3.3,2
2839.5,70.88,0.589,5.6,11.4,3.2,2
2840.0,71.57,0.571,6.3,12.45,3.1,2
2840.5,72.53,0.555,6.3,13.45,3.2,3
2841.0,67.99,0.542,6.1,14.35,3.1,3
2841.5,60.31,0.525,5.0,14.1,3.2,2
2842.0,55.52,0.504,6.3,11.55,3.2,2
2842.5,56.07,0.486,5.0,11.0,3.2,2
2843.0,62.67,0.473,-2.6,15.8,3.2,2
2843.5,66.9,0.471,-2.2,21.4,3.2,2
2844.0,68.54,0.477,3.1,24.25,3.2,2
2844.5,68.7,0.483,3.3,22.85,3.2,2
2845.0,63.2,0.489,9.5,17.25,3.4,5
2845.5,60.33,0.493,11.6,15.6,3.7,5
2846.0,58.16,0.491,12.7,14.35,3.8,5
2846.5,52.61,0.481,9.9,11.45,3.9,5
2847.0,45.72,0.464,5.2,8.8,3.9,3
2847.5,35.92,0.441,4.5,7.95,4.0,6
2848.0,26.62,0.422,3.6,10.7,4.3,6
2848.5,24.14,0.398,5.9,12.55,4.0,7
2849.0,24.36,0.375,6.5,12.95,3.9,7
2849.5,23.28,0.35,6.5,11.85,4.1,7
2850.0,25.7,0.334,7.7,10.95,4.1,7
2850.5,28.2,0.336,8.2,11.2,3.7,7
2851.0,28.35,0.352,8.8,12.1,3.7,7
2851.5,31.71,0.377,9.0,12.8,3.6,7
2852.0,35.52,0.405,9.1,12.75,3.3,7
2852.5,39.11,0.431,9.3,12.55,3.2,7
2853.0,44.57,0.458,10.4,12.4,3.2,5
2853.5,54.42,0.49,11.1,12.35,3.1,5
2854.0,61.72,0.53,10.9,13.15,3.1,5
2854.5,66.81,0.577,11.9,13.55,3.1,5
2855.0,74.17,0.628,11.8,13.5,3.2,4
2855.5,82.18,0.679,9.2,12.5,3.5,4
2856.0,85.67,0.725,5.8,9.4,3.6,4
2856.5,87.06,0.761,1.6,6.3,3.8,4
2857.0,84.2,0.792,-1.2,4.6,3.8,4
2857.5,83.45,0.823,-1.9,4.35,3.9,8
2858.0,90.42,0.86,-1.3,5.75,3.9,8
2858.5,100.83,0.898,1.7,7.65,3.8,6
