PERM,BVO,PORO
121.0456,0.1225342,0.1342334
94.8794,0.1589692,0.17338176
224.5208,0.2248365,0.24245369
220.92,0.2231711,0.24507673
239.2799,0.255202,0.27909263
239.4797,0.2560204,0.27851285
238.6024,0.251794,0.27298268
218.6209,0.210517,0.23662315
240.1712,0.2630782,0.28845155
241.7926,0.2748938,0.30416042
240.0112,0.2613576,0.28884355
233.8882,0.2376786,0.25488938
236.0154,0.2438379,0.26697171
236.753,0.246786,0.27333726
239.3489,0.2567985,0.28755325
239.5667,0.2558077,0.27969588
239.4748,0.2559026,0.28363829
237.7348,0.2491628,0.27713624
237.5318,0.2497718,0.28047205
80.8407,0.195738,0.21241684
93.5033,0.168899,0.18627716
122.287,0.1570551,0.17403064
108.9553,0.1627845,0.17561835
31.0691,0.1687902,0.18184127
118.6374,0.1862356,0.20193594
116.3029,0.1949517,0.21426135
24.8385,0.2109684,0.23654311
24.6847,0.2082601,0.22985084
21.3782,0.1780992,0.19939495
42.4039,0.1662339,0.18523713
139.172,0.1523272,0.16953756
26.7297,0.1616006,0.18069994
31.4274,0.1725232,0.19219454
31.5719,0.1902566,0.21160982
28.7489,0.2117587,0.23232659
225.4515,0.226983,0.24802623
229.6709,0.23159,0.25123234
229.1068,0.2303143,0.24947504
233.5268,0.2383643,0.26042251
30.127,0.1877981,0.20577817
5.793,0.1571118,0.17550441
17.5703,0.157703,0.17428864
91.9411,0.1665908,0.18339089
93.4828,0.1947131,0.21165239
24.7668,0.2069351,0.22787644
215.7781,0.2203367,0.23947908
28.6049,0.212951,0.23314036
24.8649,0.2060564,0.22717993
78.8746,0.1994501,0.22663971
31.2662,0.172735,0.19390038
110.0864,0.1582409,0.17888911
25.8802,0.1615609,0.18225984
94.7906,0.1706263,0.19485385
121.6098,0.185232,0.2063685
24.8321,0.2076965,0.23054968
24.3608,0.2022491,0.22247647
119.6682,0.1874747,0.20776915
38.146,0.1703019,0.18727002
149.097,0.146579,0.16155898
84.5152,0.1251929,0.13556099
9.7022,0.1223846,0.13277212
9.6718,0.1224427,0.13198522
7.0057,0.1374428,0.14886727
54.9497,0.1627175,0.17579403
77.9198,0.1994806,0.21608704
24.6405,0.2071197,0.22771104
28.416,0.2153669,0.23390925
24.5878,0.2063571,0.23046673
218.8789,0.212042,0.23401252
80.6449,0.2021513,0.22667593
24.6823,0.2092328,0.23238215
24.7395,0.2138484,0.24312373
242.6956,0.2240573,0.2524871
24.6937,0.2135434,0.23899777
26.0261,0.2076312,0.22752935
75.6786,0.188997,0.20307671
21.356,0.1831569,0.19800595
29.8073,0.1809954,0.19224336
26.3186,0.1689129,0.17749559
129.5955,0.1657585,0.17506406
95.1259,0.1782766,0.19912619
29.7674,0.1835128,0.20427114
40.9149,0.175094,0.1932892
112.258,0.1805892,0.19551606
40.3872,0.1710142,0.18362593
1.6755,0.1449889,0.15058343
1.6873,0.1370236,0.14605231
117.0794,0.1582321,0.171195
21.4192,0.1815327,0.20146009
74.2627,0.1836735,0.20819739
31.6892,0.1783181,0.20327315
122.2688,0.1619876,0.1846365
133.8044,0.1485428,0.16650243
129.1044,0.1411738,0.15635369
4.9838,0.1340413,0.14918008
7.3688,0.1461382,0.16043994
197.2735,0.1420263,0.15633895
183.6928,0.1419136,0.15772852
6.7129,0.1360639,0.15136993
19.0546,0.1564635,0.17403297
23.5789,0.1719116,0.19192884
127.5518,0.1809126,0.20420217
161.0298,0.1729443,0.19622315
156.9146,0.1720558,0.19682358
37.9974,0.1679436,0.19294864
110.4865,0.1665576,0.19417066
41.3526,0.1626177,0.19092222
6.4858,0.1531378,0.17637995
15.0203,0.1278995,0.14873666
0.8225,0.1022512,0.12310563
0.0528,0.0637638,0.07630578
0.7155,0.0569933,0.06911001
0.0507,0.0642179,0.07712722
0.04,0.065246,0.07815405
0.0206,0.0761795,0.09354299
8.8263,0.111825,0.1361023
71.3912,0.120142,0.14393422
88.9146,0.1194988,0.14294747
8.9477,0.1182904,0.14060602
10.9774,0.1193581,0.14337715
1.7999,0.126304,0.15106101
7.3494,0.1177859,0.14234106
5.4886,0.1173507,0.14227735
120.8565,0.122463,0.14852932
109.2599,0.1202746,0.14637435
11.4177,0.116911,0.14225338
1.6679,0.1066879,0.13083848
2.6167,0.1072569,0.131386
0.0011,0.0795859,0.09671154
0.0057,0.0677847,0.08128236
0.5526,0.0632293,0.07263669
0.7064,0.0583814,0.0669475
0.0046,0.0804198,0.09829754
0.0217,0.0667051,0.08045231
0.733,0.0577219,0.06433368
0.0045,0.0821126,0.10115784
0.0038,0.0818849,0.09981272
0.0016,0.0801468,0.09675423
0.0231,0.0824797,0.10251739
0.226,0.0977971,0.12101411
0.2198,0.0958914,0.11811606
0.1985,0.099688,0.12349028
0.2137,0.0958925,0.11919639
0.7788,0.1022084,0.12636125
1.6297,0.1031365,0.12499301
17.0323,0.1153792,0.13834005
9.1734,0.1058798,0.12817818
8.4089,0.1032209,0.12629021
0.0606,0.0678548,0.08452993
0.2355,0.0394588,0.04226058
0.1304,0.0316687,0.02587453
0.2326,0.0431098,0.04937205
0.8488,0.0514604,0.06162706
0.6581,0.0579825,0.07269796
0.026,0.0604667,0.0757186
0.0426,0.0673055,0.08288957
0.0178,0.0785512,0.09630977
1.7578,0.1044909,0.12601682
7.8859,0.1050901,0.12685418
0.1694,0.07902,0.09974143
0.092,0.0425741,0.059674
0.1347,0.027164,0.03847044
0.1545,0.0449182,0.0558005
0.0355,0.0800744,0.09973193
0.4818,0.1005105,0.1231708
0.2259,0.0941957,0.11756482
0.164,0.0688818,0.09173469
0.104,0.0590425,0.08112191
0.1009,0.0617807,0.08128966
0.0319,0.0821381,0.10081298
81.6719,0.119214,0.13911641
155.3585,0.1449592,0.16737992
38.0283,0.167846,0.19335533
88.3807,0.1779428,0.20391118
123.7278,0.182881,0.21161475
87.8813,0.1805674,0.21196625
77.8339,0.1955713,0.22944619
24.2722,0.201244,0.23171967
156.0338,0.206162,0.23049566
172.8798,0.2021507,0.22808598
170.1732,0.2060168,0.23078257
191.7115,0.2133012,0.24012786
182.334,0.2112992,0.23725867
29.7479,0.196196,0.22323026
70.7997,0.1713616,0.19646192
1.0964,0.1596598,0.18209412
60.3232,0.1592014,0.18185536
20.6252,0.162013,0.18566417
89.8993,0.1646522,0.1887938
37.0828,0.1645906,0.18951346
93.0589,0.1751541,0.19977315
87.8812,0.1639877,0.18897039
93.2291,0.1459813,0.17012722
89.1494,0.12268,0.14402223
8.3775,0.1163312,0.13770328
0.0279,0.0586622,0.0735119
0.0989,0.058653,0.07760454
0.0952,0.0663012,0.08908257
0.0964,0.0648957,0.08944017
0.1325,0.0600929,0.0843861
0.097,0.0662207,0.09028058
0.0734,0.0711525,0.09271861
0.0426,0.070142,0.09162172
0.8668,0.0518471,0.06529192
0.1557,0.0420873,0.05576305
0.2325,0.0333578,0.04277431
0.2318,0.0322312,0.04314257
0.1339,0.0300143,0.0355724
0.1566,0.0427514,0.05436774
0.874,0.0521651,0.06580038
0.0322,0.072002,0.09136209
0.0297,0.0812404,0.10275846
0.0039,0.0836249,0.10531247
0.0051,0.0828411,0.1048544
0.0395,0.0805875,0.10422098
0.0659,0.0777539,0.09994605
0.0392,0.0713792,0.09279387
18.9559,0.1150236,0.13691087
66.7031,0.1190536,0.14064484
0.4668,0.1013284,0.12310293
0.0405,0.0793863,0.0989278
0.0838,0.0629352,0.07963062
0.7992,0.0546538,0.06829968
0.0742,0.0621057,0.0779179
0.1007,0.0623562,0.0811262
0.1865,0.0743682,0.0955107
10.6235,0.110242,0.13389608
10.9929,0.1118216,0.1335735
0.9851,0.1047538,0.12523051
0.004,0.0855244,0.10065451
0.6311,0.0631808,0.06625206
0.0242,0.0705871,0.07045567
0.0248,0.0755814,0.07212819
0.5459,0.0675553,0.07115485
0.024,0.0612198,0.07451561
0.0312,0.058389,0.07640102
0.1012,0.0614731,0.08485213
0.0375,0.0585883,0.08141736
0.0984,0.0581457,0.08499309
0.9358,0.0464299,0.0691233
0.1629,0.0364873,0.0579213
0.8483,0.0416563,0.07078284
1.3225,0.0439001,0.07565307
0.0645,0.0459291,0.08232666
0.4287,0.0393625,0.07198171
0.67,0.040326,0.07344588
0.0994,0.0377213,0.06753948
0.1256,0.0361103,0.0655695
0.152,0.0337481,0.06033516
0.132,0.0357333,0.06122639
0.1445,0.0353753,0.06018408
0.0895,0.0378723,0.06353051
0.1433,0.0361331,0.05931742
0.1341,0.0384235,0.06163869
1.0415,0.0462908,0.06869264
0.0368,0.0567374,0.07785044
0.8228,0.0537229,0.06759082
0.647,0.0584853,0.0729174
0.666,0.0582647,0.07212612
0.0332,0.0713207,0.09122871
0.0213,0.0756553,0.09467883
